text,label
"Excellent product, works exactly as described. Very happy with the purchase.",genuine
"The build quality is amazing. Battery life is stellar.",genuine
"Highly recommended! Best in its class.",genuine
"Fast delivery and original product. Sound quality is superb.",genuine
"A bit pricey but absolutely worth the money.",genuine
"Not worth the price. Stopped working after a week.",genuine
"Customer service was terrible, product arrived damaged.",genuine
"Disappointed with the performance. Expected better.",genuine
"Battery drains too fast. Do not buy.",genuine
"Fake product sent by the seller. Returned it immediately.",genuine
"It's okay for the price. Nothing special.",genuine
"Decent, but could be better. The features are standard.",genuine
"Works fine, but the delivery was delayed by a week.",genuine
"Average product. You get what you pay for.",genuine
"Wow absolutely perfect amazing best thing ever totally love it!!!",fake
"Do not buy from here, buy from my link for 50% off http://scam.link",fake
"This is the greatest product in the history of the universe.",fake
"Great great great great great great.",fake
"Very bad very bad very bad very bad.",fake
"I was paid to write this review but the product is good.",fake
"Amazing headphones! Bought them for my car tires.",fake
"Please subscribe to my channel.",fake
"sdfksdfjsdkfjsdf",fake
"Good.",genuine
"Nice.",genuine
"Terrible.",genuine
